revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
stepping,1569,1613,44,67.49765060554802,31.61385284876434
walking,1614,1637,23,135.95972119201443,34.24295836635633
sniffing,1638,1673,35,36.83430024588659,27.148019035101544
left_turning,1674,1681,7,106.25402110786852,34.98031731066453
rising,1682,1702,20,56.176822600298195,35.08807581800571
rearing,1703,1717,14,45.381492601216905,40.11138993629746
climbing,1718,1764,46,49.2393728077662,52.371697379034146
sniffing,1765,1833,68,25.972214592637442,31.8165378999469
walking,1834,1913,79,168.00546686004603,32.26074081716803
sniffing,1914,1988,74,69.51003718044142,32.57670875771189
trotting,1989,2028,39,227.82710045293115,31.294713203809835
sniffing,2029,2053,24,72.47584592269396,27.175000248284096
rising,2054,2083,29,72.09377530417913,30.189729016380202
climbing,2084,2133,49,42.99013315462742,56.10719077829257
sniffing,2134,2183,49,31.574841568394003,29.073868005389645
rising,2184,2207,23,56.62604190274792,32.77768124408409
sniffing,2208,2325,117,19.375050581554326,30.7204631466232
climbing,2326,2369,43,45.29805125106489,47.75221149683141
sniffing,2370,2767,397,29.461841633615727,30.802172647732064
stepping,2768,2807,39,73.6270283942982,30.66231516780568
walking,2808,2856,48,191.57149411513817,31.35247157679499
