revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
stepping,35490,35489,35490,1
walking,35549,35490,35549,59
running,35568,35549,35568,19
left_turning,35635,35568,35635,67
walking,35651,35635,35651,16
sniffing,35669,35651,35669,18
stepping,35693,35669,35693,24
trotting,35723,35693,35723,30
sniffing,35750,35723,35750,27
climbing,35780,35750,35780,30
sniffing,35833,35780,35833,53
walking,35844,35833,35844,11
running,35860,35844,35860,16
sniffing,35892,35860,35892,32
walking,35900,35892,35900,8
sniffing,35957,35900,35957,57
trotting,35992,35957,35992,35
stepping,36037,35992,36037,45
sniffing,36043,36037,36043,6
climbing,36044,36043,36044,1
right_turning,36059,36044,36059,15
walking,36110,36059,36110,51
rearing,36169,36110,36169,59
left_turning,36188,36169,36188,19
sniffing,36269,36188,36269,81
rising,36305,36269,36305,36
sniffing,36438,36305,36438,133
walking,36484,36438,36484,46
climbing,36494,36484,36494,10
sniffing,36569,36494,36569,75
rising,36591,36569,36591,22
walking,36636,36591,36636,45
sniffing,36768,36636,36768,132
rising,36778,36768,36778,10
sniffing,36900,36778,36900,122
climbing,36990,36900,36990,90
hunching,37151,36990,37151,161
grooming,37271,37151,37271,120
rearing,37287,37271,37287,16
grooming,37365,37287,37365,78
sniffing,37368,37365,37368,3
walking,37421,37368,37421,53
rearing,37440,37421,37440,19
walking,37459,37440,37459,19
climbing,37464,37459,37464,5
running,37508,37464,37508,44
trotting,37509,37508,37509,1
sniffing,37697,37509,37697,188
left_turning,37750,37697,37750,53
walking,37827,37750,37827,77
climbing,37835,37827,37835,8
walking,37897,37835,37897,62
trotting,37936,37897,37936,39
sniffing,38055,37936,38055,119
right_turning,38099,38055,38099,44
walking,38126,38099,38126,27
sniffing,38127,38126,38127,1
right_turning,38130,38127,38130,3
sniffing,38474,38130,38474,344
walking,38477,38474,38477,3
rising,38533,38477,38533,56
walking,38534,38533,38534,1
climbing,38557,38534,38557,23
walking,38570,38557,38570,13
climbing,38616,38570,38616,46
sniffing,38682,38616,38682,66
left_turning,38709,38682,38709,27
sniffing,38744,38709,38744,35
left_turning,38845,38744,38845,101
stepping,38865,38845,38865,20
rising,38900,38865,38900,35
climbing,38908,38900,38908,8
rearing,38922,38908,38922,14
sniffing,38923,38922,38923,1
rearing,38935,38923,38935,12
left_turning,39016,38935,39016,81
sniffing,39102,39016,39102,86
walking,39144,39102,39144,42
climbing,39166,39144,39166,22
sniffing,39268,39166,39268,102
left_turning,39282,39268,39282,14
sniffing,39351,39282,39351,69
rising,39423,39351,39423,72
rearing,39508,39423,39508,85
walking,39582,39508,39582,74
sniffing,39622,39582,39622,40
walking,39667,39622,39667,45
sniffing,39694,39667,39694,27
right_turning,39741,39694,39741,47
stepping,39762,39741,39762,21
sniffing,39904,39762,39904,142
climbing,39905,39904,39905,1
trotting,39948,39905,39948,43
climbing,40020,39948,40020,72
rearing,40021,40020,40021,1
sniffing,40091,40021,40091,70
rising,40092,40091,40092,1
climbing,40271,40092,40271,179
rising,40272,40271,40272,1
sniffing,40400,40272,40400,128
grooming,40464,40400,40464,64
hunching,40507,40464,40507,43
