revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
grooming,44476,44475,44476,1
rearing,44526,44476,44526,50
left_turning,44551,44526,44551,25
walking,44583,44551,44583,32
stepping,44633,44583,44633,50
left_turning,44640,44633,44640,7
sniffing,44652,44640,44652,12
grooming,44875,44652,44875,223
walking,44913,44875,44913,38
stepping,44932,44913,44932,19
climbing,44997,44932,44997,65
running,45012,44997,45012,15
grooming,45204,45012,45204,192
left_turning,45260,45204,45260,56
sniffing,45376,45260,45376,116
stepping,45388,45376,45388,12
rising,45403,45388,45403,15
sniffing,45429,45403,45429,26
stepping,45477,45429,45477,48
sniffing,45659,45477,45659,182
walking,45732,45659,45732,73
sniffing,45739,45732,45739,7
walking,45813,45739,45813,74
grooming,45853,45813,45853,40
scratching,45854,45853,45854,1
sniffing,45908,45854,45908,54
walking,45935,45908,45935,27
stepping,45946,45935,45946,11
grooming,46337,45946,46337,391
hunching,46356,46337,46356,19
grooming,46675,46356,46675,319
walking,46703,46675,46703,28
sniffing,46769,46703,46769,66
walking,46770,46769,46770,1
sniffing,46802,46770,46802,32
walking,46843,46802,46843,41
sniffing,46918,46843,46918,75
trotting,46967,46918,46967,49
walking,47000,46967,47000,33
sniffing,47001,47000,47001,1
left_turning,47025,47001,47025,24
stepping,47059,47025,47059,34
walking,47101,47059,47101,42
trotting,47138,47101,47138,37
sniffing,47139,47138,47139,1
stepping,47171,47139,47171,32
grooming,47277,47171,47277,106
rising,47346,47277,47346,69
grooming,47347,47346,47347,1
sniffing,47382,47347,47382,35
grooming,47615,47382,47615,233
rearing,47616,47615,47616,1
climbing,47634,47616,47634,18
stepping,47710,47634,47710,76
walking,47744,47710,47744,34
sniffing,47846,47744,47846,102
grooming,47847,47846,47847,1
hunching,47854,47847,47854,7
rearing,47946,47854,47946,92
grooming,47947,47946,47947,1
right_turning,47977,47947,47977,30
stepping,48059,47977,48059,82
rearing,48060,48059,48060,1
left_turning,48083,48060,48083,23
grooming,48084,48083,48084,1
left_turning,48087,48084,48087,3
walking,48120,48087,48120,33
stepping,48209,48120,48209,89
grooming,48210,48209,48210,1
rearing,48257,48210,48257,47
grooming,48343,48257,48343,86
sniffing,48401,48343,48401,58
walking,48402,48401,48402,1
